"Tabela 1572 - Pessoas de 10 anos ou mais de idade, por idade e condição de atividade e de ocupação na semana de referência - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Área de Ponderação","Condição de atividade e condição de ocupação","Ano x Idade"
"Cód.","Área de Ponderação","Condição de atividade e condição de ocupação","2010"
"Cód.","Área de Ponderação","Condição de atividade e condição de ocupação","Total","20 a 24 anos","25 a 29 anos","30 a 34 anos","35 a 39 anos","40 a 44 anos","45 a 49 anos","50 a 54 anos","55 a 59 anos","60 a 64 anos","65 a 69 anos","70 anos ou mais"
"3106200005001","B1 - Belo Horizonte (MG)","Economicamente ativas","25316","3627","3732","3665","3224","2725","2253","2014","1040","560","279","180"
"3106200005001","B1 - Belo Horizonte (MG)","Não economicamente ativas","13908","698","498","656","484","647","607","572","744","735","910","1642"
"3106200005002","B2 - Belo Horizonte (MG)","Economicamente ativas","23042","2994","3160","3299","2752","2751","2383","1825","1246","574","252","453"
"3106200005002","B2 - Belo Horizonte (MG)","Não economicamente ativas","14830","661","690","473","738","578","794","794","1016","1217","1078","1861"
"3106200005003","B3 - Belo Horizonte (MG)","Economicamente ativas","28074","3826","4418","3863","3514","3079","2671","1889","1410","755","298","313"
"3106200005003","B3 - Belo Horizonte (MG)","Não economicamente ativas","17093","954","632","1031","601","843","698","841","1204","1212","1066","1567"
"3106200005004","B4-A - Belo Horizonte (MG)","Economicamente ativas","16037","2451","2582","2329","1935","1795","1630","720","679","412","96","128"
"3106200005004","B4-A - Belo Horizonte (MG)","Não economicamente ativas","9371","413","499","516","375","375","336","709","528","380","396","755"
"3106200005005","B4-B - Belo Horizonte (MG)","Economicamente ativas","21332","2933","3420","3041","2575","2349","2025","1429","1133","552","249","232"
"3106200005005","B4-B - Belo Horizonte (MG)","Não economicamente ativas","12331","720","366","460","405","492","660","960","646","963","687","1520"
"3106200005006","B5-A - Belo Horizonte (MG)","Economicamente ativas","14318","2282","2174","2345","1850","1473","1121","756","834","233","146","24"
"3106200005006","B5-A - Belo Horizonte (MG)","Não economicamente ativas","10461","550","724","457","456","399","572","488","707","514","507","712"
"3106200005007","B5-B - Belo Horizonte (MG)","Economicamente ativas","23299","3630","3273","3255","2592","2281","2104","1808","1036","560","333","122"
"3106200005007","B5-B - Belo Horizonte (MG)","Não economicamente ativas","14402","731","982","713","611","689","599","927","685","700","736","1337"
"3106200005008","Cs1 – A - Belo Horizonte (MG)","Economicamente ativas","17551","2547","2998","2313","1600","1404","1665","1565","1213","786","363","459"
