"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2016"
"MU","1100015","Alta Floresta D'Oeste (RO)","477783"
"MU","1100023","Ariquemes (RO)","2183383"
"MU","1100031","Cabixi (RO)","133345"
"MU","1100049","Cacoal (RO)","1944787"
"MU","1100056","Cerejeiras (RO)","408048"
"MU","1100064","Colorado do Oeste (RO)","305876"
"MU","1100072","Corumbiara (RO)","236578"
"MU","1100080","Costa Marques (RO)","206123"
"MU","1100098","Espigão D'Oeste (RO)","544664"
"MU","1100106","Guajará-Mirim (RO)","740160"
"MU","1100114","Jaru (RO)","1311875"
"MU","1100122","Ji-Paraná (RO)","2991592"
"MU","1100130","Machadinho D'Oeste (RO)","512540"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","307693"
"MU","1100155","Ouro Preto do Oeste (RO)","708915"
"MU","1100189","Pimenta Bueno (RO)","1001086"
"MU","1100205","Porto Velho (RO)","14741744"
"MU","1100254","Presidente Médici (RO)","388233"
"MU","1100262","Rio Crespo (RO)","90544"
"MU","1100288","Rolim de Moura (RO)","1201504"
"MU","1100296","Santa Luzia D'Oeste (RO)","149203"
"MU","1100304","Vilhena (RO)","2420745"
"MU","1100320","São Miguel do Guaporé (RO)","514512"
"MU","1100338","Nova Mamoré (RO)","419494"
"MU","1100346","Alvorada D'Oeste (RO)","243560"
"MU","1100379","Alto Alegre dos Parecis (RO)","230030"
"MU","1100403","Alto Paraíso (RO)","287085"
"MU","1100452","Buritis (RO)","581510"
"MU","1100502","Novo Horizonte do Oeste (RO)","150298"
"MU","1100601","Cacaulândia (RO)","133966"
"MU","1100700","Campo Novo de Rondônia (RO)","221024"
"MU","1100809","Candeias do Jamari (RO)","399719"
"MU","1100908","Castanheiras (RO)","68670"
"MU","1100924","Chupinguaia (RO)","275043"
"MU","1100940","Cujubim (RO)","315312"
"MU","1101005","Governador Jorge Teixeira (RO)","163371"
"MU","1101104","Itapuã do Oeste (RO)","153874"
"MU","1101203","Ministro Andreazza (RO)","189586"
"MU","1101302","Mirante da Serra (RO)","192228"
"MU","1101401","Monte Negro (RO)","242416"
"MU","1101435","Nova União (RO)","106761"
"MU","1101450","Parecis (RO)","91383"
"MU","1101468","Pimenteiras do Oeste (RO)","89280"
"MU","1101476","Primavera de Rondônia (RO)","58675"
"MU","1101484","São Felipe D'Oeste (RO)","84808"
"MU","1101492","São Francisco do Guaporé (RO)","318923"
"MU","1101500","Seringueiras (RO)","200089"
"MU","1101559","Teixeirópolis (RO)","82689"
"MU","1101609","Theobroma (RO)","169743"
"MU","1101708","Urupá (RO)","196560"
"MU","1101757","Vale do Anari (RO)","133100"
"MU","1101807","Vale do Paraíso (RO)","130456"
"MU","1200013","Acrelândia (AC)","227611"
"MU","1200054","Assis Brasil (AC)","83277"
"MU","1200104","Brasiléia (AC)","406691"
"MU","1200138","Bujari (AC)","158741"
"MU","1200179","Capixaba (AC)","174043"
"MU","1200203","Cruzeiro do Sul (AC)","1088626"
"MU","1200252","Epitaciolândia (AC)","279121"
"MU","1200302","Feijó (AC)","341346"
"MU","1200328","Jordão (AC)","74458"
"MU","1200336","Mâncio Lima (AC)","189424"
"MU","1200344","Manoel Urbano (AC)","124307"
"MU","1200351","Marechal Thaumaturgo (AC)","175480"
"MU","1200385","Plácido de Castro (AC)","263904"
"MU","1200393","Porto Walter (AC)","108966"
"MU","1200401","Rio Branco (AC)","8123182"
"MU","1200427","Rodrigues Alves (AC)","183516"
"MU","1200435","Santa Rosa do Purus (AC)","61114"
"MU","1200450","Senador Guiomard (AC)","345371"
"MU","1200500","Sena Madureira (AC)","474448"
"MU","1200609","Tarauacá (AC)","428699"
"MU","1200708","Xapuri (AC)","215577"
"MU","1200807","Porto Acre (AC)","223222"
"MU","1300029","Alvarães (AM)","147946"
"MU","1300060","Amaturá (AM)","66232"
"MU","1300086","Anamã (AM)","95318"
"MU","1300102","Anori (AM)","177193"
"MU","1300144","Apuí (AM)","185275"
"MU","1300201","Atalaia do Norte (AM)","168978"
"MU","1300300","Autazes (AM)","287717"
"MU","1300409","Barcelos (AM)","157193"
"MU","1300508","Barreirinha (AM)","219595"
"MU","1300607","Benjamin Constant (AM)","266870"
"MU","1300631","Beruri (AM)","121837"
"MU","1300680","Boa Vista do Ramos (AM)","110092"
"MU","1300706","Boca do Acre (AM)","308465"
"MU","1300805","Borba (AM)","265443"
"MU","1300839","Caapiranga (AM)","145493"
"MU","1300904","Canutama (AM)","97250"
"MU","1301001","Carauari (AM)","263441"
"MU","1301100","Careiro (AM)","241608"
"MU","1301159","Careiro da Várzea (AM)","295105"
"MU","1301209","Coari (AM)","1134798"
"MU","1301308","Codajás (AM)","648090"
"MU","1301407","Eirunepé (AM)","391606"
"MU","1301506","Envira (AM)","142594"
"MU","1301605","Fonte Boa (AM)","149829"
"MU","1301654","Guajará (AM)","109928"
"MU","1301704","Humaitá (AM)","493744"
"MU","1301803","Ipixuna (AM)","125078"
"MU","1301852","Iranduba (AM)","636014"
"MU","1301902","Itacoatiara (AM)","2054830"
"MU","1301951","Itamarati (AM)","84143"
"MU","1302009","Itapiranga (AM)","100554"
"MU","1302108","Japurá (AM)","59189"
"MU","1302207","Juruá (AM)","88753"
"MU","1302306","Jutaí (AM)","198021"
"MU","1302405","Lábrea (AM)","433736"
"MU","1302504","Manacapuru (AM)","1241891"
"MU","1302553","Manaquiri (AM)","249818"
"MU","1302603","Manaus (AM)","70296364"
"MU","1302702","Manicoré (AM)","477439"
"MU","1302801","Maraã (AM)","144220"
"MU","1302900","Maués (AM)","396078"
"MU","1303007","Nhamundá (AM)","133331"
"MU","1303106","Nova Olinda do Norte (AM)","209842"
"MU","1303205","Novo Airão (AM)","120587"
"MU","1303304","Novo Aripuanã (AM)","167040"
"MU","1303403","Parintins (AM)","1024890"
"MU","1303502","Pauini (AM)","140830"
"MU","1303536","Presidente Figueiredo (AM)","546209"
"MU","1303569","Rio Preto da Eva (AM)","445164"
"MU","1303601","Santa Isabel do Rio Negro (AM)","128353"
"MU","1303700","Santo Antônio do Içá (AM)","161023"
"MU","1303809","São Gabriel da Cachoeira (AM)","271073"
"MU","1303908","São Paulo de Olivença (AM)","205182"
"MU","1303957","São Sebastião do Uatumã (AM)","94782"
"MU","1304005","Silves (AM)","97990"
"MU","1304062","Tabatinga (AM)","414692"
"MU","1304104","Tapauá (AM)","216816"
"MU","1304203","Tefé (AM)","650319"
"MU","1304237","Tonantins (AM)","116886"
"MU","1304260","Uarini (AM)","175838"
"MU","1304302","Urucará (AM)","296567"
"MU","1304401","Urucurituba (AM)","121982"
"MU","1400027","Amajari (RR)","139171"
"MU","1400050","Alto Alegre (RR)","248754"
"MU","1400100","Boa Vista (RR)","8112334"
"MU","1400159","Bonfim (RR)","247502"
"MU","1400175","Cantá (RR)","226282"
"MU","1400209","Caracaraí (RR)","322843"
"MU","1400233","Caroebe (RR)","151587"
"MU","1400282","Iracema (RR)","137171"
"MU","1400308","Mucajaí (RR)","270945"
"MU","1400407","Normandia (RR)","129666"
"MU","1400456","Pacaraima (RR)","164518"
"MU","1400472","Rorainópolis (RR)","506132"
"MU","1400506","São João da Baliza (RR)","140277"
"MU","1400605","São Luiz (RR)","110590"
"MU","1400704","Uiramutã (RR)","103680"
"MU","1500107","Abaetetuba (PA)","1249255"
"MU","1500131","Abel Figueiredo (PA)","79658"
"MU","1500206","Acará (PA)","788416"
"MU","1500305","Afuá (PA)","315991"
"MU","1500347","Água Azul do Norte (PA)","432114"
"MU","1500404","Alenquer (PA)","659490"
"MU","1500503","Almeirim (PA)","589310"
"MU","1500602","Altamira (PA)","2472773"
"MU","1500701","Anajás (PA)","189225"
"MU","1500800","Ananindeua (PA)","6710890"
"MU","1500859","Anapu (PA)","309602"
"MU","1500909","Augusto Corrêa (PA)","309293"
"MU","1500958","Aurora do Pará (PA)","298264"
"MU","1501006","Aveiro (PA)","122583"
"MU","1501105","Bagre (PA)","167841"
"MU","1501204","Baião (PA)","337839"
"MU","1501253","Bannach (PA)","79600"
"MU","1501303","Barcarena (PA)","5012997"
"MU","1501402","Belém (PA)","29426953"
"MU","1501451","Belterra (PA)","151436"
"MU","1501501","Benevides (PA)","1289648"
"MU","1501576","Bom Jesus do Tocantins (PA)","153484"
"MU","1501600","Bonito (PA)","108301"
"MU","1501709","Bragança (PA)","1057723"
"MU","1501725","Brasil Novo (PA)","228653"
"MU","1501758","Brejo Grande do Araguaia (PA)","76307"
"MU","1501782","Breu Branco (PA)","536481"
"MU","1501808","Breves (PA)","685738"
"MU","1501907","Bujaru (PA)","489954"
"MU","1501956","Cachoeira do Piriá (PA)","171563"
"MU","1502004","Cachoeira do Arari (PA)","168392"
"MU","1502103","Cametá (PA)","1136531"
"MU","1502152","Canaã dos Carajás (PA)","2343474"
"MU","1502202","Capanema (PA)","984039"
"MU","1502301","Capitão Poço (PA)","479570"
"MU","1502400","Castanhal (PA)","3602939"
"MU","1502509","Chaves (PA)","177939"
"MU","1502608","Colares (PA)","72433"
"MU","1502707","Conceição do Araguaia (PA)","542686"
"MU","1502756","Concórdia do Pará (PA)","262100"
"MU","1502764","Cumaru do Norte (PA)","267151"
"MU","1502772","Curionópolis (PA)","592681"
"MU","1502806","Curralinho (PA)","658236"
"MU","1502855","Curuá (PA)","108617"
"MU","1502905","Curuçá (PA)","265956"
"MU","1502939","Dom Eliseu (PA)","656088"
"MU","1502954","Eldorado do Carajás (PA)","322701"
"MU","1503002","Faro (PA)","54220"
"MU","1503044","Floresta do Araguaia (PA)","315084"
"MU","1503077","Garrafão do Norte (PA)","220601"
"MU","1503093","Goianésia do Pará (PA)","373793"
"MU","1503101","Gurupá (PA)","206564"
"MU","1503200","Igarapé-Açu (PA)","333829"
"MU","1503309","Igarapé-Miri (PA)","367354"
"MU","1503408","Inhangapi (PA)","111332"
"MU","1503457","Ipixuna do Pará (PA)","478776"
"MU","1503507","Irituia (PA)","219156"
"MU","1503606","Itaituba (PA)","1601485"
"MU","1503705","Itupiranga (PA)","510818"
"MU","1503754","Jacareacanga (PA)","237881"
"MU","1503804","Jacundá (PA)","489016"
"MU","1503903","Juruti (PA)","940152"
"MU","1504000","Limoeiro do Ajuru (PA)","383638"
"MU","1504059","Mãe do Rio (PA)","283476"
"MU","1504109","Magalhães Barata (PA)","65092"
"MU","1504208","Marabá (PA)","7479675"
"MU","1504307","Maracanã (PA)","209734"
"MU","1504406","Marapanim (PA)","218382"
"MU","1504422","Marituba (PA)","1728664"
"MU","1504455","Medicilândia (PA)","565800"
"MU","1504505","Melgaço (PA)","174783"
"MU","1504604","Mocajuba (PA)","279865"
"MU","1504703","Moju (PA)","868215"
"MU","1504752","Mojuí dos Campos (PA)","137313"
"MU","1504802","Monte Alegre (PA)","671648"
"MU","1504901","Muaná (PA)","235576"
"MU","1504950","Nova Esperança do Piriá (PA)","181183"
"MU","1504976","Nova Ipixuna (PA)","134534"
