,CIDADE,CORREÇÃO,UF
1,ASSIS BRAZIL,ASSIS BRASIL,AC
13,HUMAITA,HUMAITÁ,AM
21,TEFE,TEFÉ,AM
51,S. ANTÔNIO DE JESUS,SANTO ANTÔNIO DE JESUS,BA
57,STA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA
79,S. GONÇALO AMARANTE,SÃO GONÇALO DO AMARANTE,CE
84,AGUAS CLARAS,BRASÍLIA,DF
85,BRASILIA,BRASÍLIA,DF
87,CACH. DO ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES
103,JATAI,JATAÍ,GO
104,LUZIANIA,LUZIÂNIA,GO
106,SÃO LUÍS DE M. BELOS,SÃO LUÍS DE MONTES BELOS,GO
118,SANTA INES,SANTA INÊS,MA
123,ARAXA,ARAXÁ,MG
147,JOAO MONLEVADE,JOÃO MONLEVADE,MG
167,S. S. DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG
184,CORUMBA,CORUMBÁ,MS
194,RIO VERDE DE MT,RIO VERDE DE MATO GROSSO,MS
204,ALMERIM,ALMEIRIM,PA
208,BELEM,BELÉM,PA
216,MARABA,MARABÁ,PA
226,TUCURUI,TUCURUÍ,PA
240,CABO DE S. AGOSTINHO,CABO DE SANTO AGOSTINHO,PE
244,J. DOS GUARARAPES,JABOATÃO DOS GUARARAPES,PE
254,VITÓRIA DE S. ANTÃO,VITÓRIA DE SANTO ANTÃO,PE
287,MAL. CÂNDIDO RONDON,MARECHAL CÂNDIDO RONDON,PR
298,SANTO ANT SUD,SANTO ANTÔNIO DO SUDOESTE,PR
303,UNIAO DA VITORIA,UNIÃO DA VITÓRIA,PR
306,C. DOS GOYTACAZES,CAMPOS DOS GOYTACAZES,RJ
311,MACAE,MACAÉ,RJ
320,SANTO ANTÔNIO DE PÁD,SANTO ANTÔNIO DE PÁDUA,RJ
323,TRES RIOS,TRÊS RIOS,RJ
325,ASSU,AÇU,RN
378,S. VITÓRIA DO PALMAR,SANTA VITÓRIA DO PALMAR,RS
379,SANT DO LIVRAMENTO,SANT'ANA DO LIVRAMENTO,RS
384,SANTANA DO LIVRAMENT,SANT'ANA DO LIVRAMENTO,RS
408,DIONÍSIO CERQUERIA,DIONÍSIO CERQUEIRA,SC
419,SAO MIGUEL DO OESTE,SÃO MIGUEL DO OESTE,SC
454,GUARATINGUETA,GUARATINGUETÁ,SP
491,S. BERNARDO DO CAMPO,SÃO BERNARDO DO CAMPO,SP
498,SÃO J. DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP
499,SÃO J. DO RIO PARDO,SÃO JOSÉ DO RIO PARDO,SP
502,SÃO JOSÉ RIO PRETO,SÃO JOSÉ DO RIO PRETO,SP
520,M. DO TOCANTINS,MIRACEMA DO TOCANTINS,TO
