file,url,path,extension,status,size,initDown,termDown
bahia_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/bahia_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/bahia_ods.zip,.zip,TRUE,2585489,1561670737.1865466,1561670761.847002
bahia_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/bahia_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/bahia_xls.zip,.zip,TRUE,1712890,1561670761.847591,1561670772.1189444
ceara_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/ceara_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/ceara_ods.zip,.zip,TRUE,1278998,1561670772.1192324,1561670777.9180756
ceara_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/ceara_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/ceara_xls.zip,.zip,TRUE,869211,1561670777.918236,1561670786.548326
distrito_federal_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/distrito_federal_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/distrito_federal_ods.zip,.zip,TRUE,228867,1561670786.5485816,1561670790.8011305
distrito_federal_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/distrito_federal_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/distrito_federal_xls.zip,.zip,TRUE,NA,1561663421.2811544,1561663423.3899798
espirito_santo_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/espirito_santo_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/espirito_santo_ods.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
espirito_santo_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/espirito_santo_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/espirito_santo_xls.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
goias_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/goias_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/goias_ods.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
goias_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/goias_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/goias_xls.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
maranhao_ods.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/maranhao_ods.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/maranhao_ods.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
maranhao_xls.zip,ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/maranhao_xls.zip,/Censos/Censo_Demografico_2010/Resultados_Gerais_da_Amostra/Unidades_da_Federacao/maranhao_xls.zip,.zip,NA,NA,1561663421.2811544,1561663423.3899798
