ID,file,url,path,extension,status,size,initDown,termDown,baixado
1,Quadro_01_Apresentacao_das_tabelas_segundo_o_conteudo_2016.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Quadro_01_Apresentacao_das_tabelas_segundo_o_conteudo_2016.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Quadro_01_Apresentacao_das_tabelas_segundo_o_conteudo_2016.xls,.xls,TRUE,NA,1561663421.2811544,1561663423.3899798,TRUE
2,Quadro_02_Comparativo_das_tabelas_do_plano_tabular_2015_2016.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Quadro_02_Comparativo_das_tabelas_do_plano_tabular_2015_2016.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Quadro_02_Comparativo_das_tabelas_do_plano_tabular_2015_2016.xls,.xls,TRUE,NA,1561663423.390664,1561663427.3973484,TRUE
3,Tabela_1_1.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_1.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_1.xls,.xls,TRUE,NA,1561663427.3975954,1561663433.5245767,TRUE
4,Tabela_1_2.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_2.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_2.xls,.xls,TRUE,NA,1561663433.5248911,1561663438.3818338,TRUE
5,Tabela_1_3_20181004.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_3_20181004.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_3_20181004.xls,.xls,TRUE,NA,1561663438.3821144,1561663444.4524617,TRUE
6,Tabela_1_4_20181004.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_4_20181004.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_4_20181004.xls,.xls,TRUE,NA,1561663444.4527361,1561663451.122618,TRUE
7,Tabela_1_5.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_5.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_5.xls,.xls,TRUE,NA,1561663451.1236584,1561663460.5709672,TRUE
8,Tabela_1_6.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_6.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_6.xls,.xls,TRUE,NA,1561663460.5711799,1561663471.278311,TRUE
9,Tabela_1_7.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_7.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_1_7.xls,.xls,TRUE,NA,1561663471.278766,1561663480.627686,TRUE
10,Tabela_2_1.xls,ftp://ftp.ibge.gov.br/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_2_1.xls,/Demografia_das_Empresas_e_Estatisticas_de_Empreendedorismo/2016/xls/Tabela_2_1.xls,.xls,TRUE,NA,1561663480.6281517,1561663487.8732433,TRUE
