"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2018"
"MU","1100015","Alta Floresta D'Oeste (RO)","23167"
"MU","1100023","Ariquemes (RO)","106168"
"MU","1100031","Cabixi (RO)","5438"
"MU","1100049","Cacoal (RO)","84813"
"MU","1100056","Cerejeiras (RO)","16444"
"MU","1100064","Colorado do Oeste (RO)","16227"
"MU","1100072","Corumbiara (RO)","7567"
"MU","1100080","Costa Marques (RO)","17855"
"MU","1100098","Espigão D'Oeste (RO)","32047"
"MU","1100106","Guajará-Mirim (RO)","45783"
"MU","1100114","Jaru (RO)","51933"
"MU","1100122","Ji-Paraná (RO)","127907"
"MU","1100130","Machadinho D'Oeste (RO)","39097"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","20459"
"MU","1100155","Ouro Preto do Oeste (RO)","36340"
"MU","1100189","Pimenta Bueno (RO)","36434"
"MU","1100205","Porto Velho (RO)","519531"
"MU","1100254","Presidente Médici (RO)","19409"
"MU","1100262","Rio Crespo (RO)","3723"
"MU","1100288","Rolim de Moura (RO)","54702"
"MU","1100296","Santa Luzia D'Oeste (RO)","6781"
"MU","1100304","Vilhena (RO)","97448"
"MU","1100320","São Miguel do Guaporé (RO)","22931"
"MU","1100338","Nova Mamoré (RO)","29757"
"MU","1100346","Alvorada D'Oeste (RO)","14722"
"MU","1100379","Alto Alegre dos Parecis (RO)","13227"
"MU","1100403","Alto Paraíso (RO)","20999"
"MU","1100452","Buritis (RO)","38937"
"MU","1100502","Novo Horizonte do Oeste (RO)","8751"
"MU","1100601","Cacaulândia (RO)","6190"
"MU","1100700","Campo Novo de Rondônia (RO)","14009"
"MU","1100809","Candeias do Jamari (RO)","25983"
"MU","1100908","Castanheiras (RO)","3119"
"MU","1100924","Chupinguaia (RO)","10886"
"MU","1100940","Cujubim (RO)","24226"
"MU","1101005","Governador Jorge Teixeira (RO)","8095"
"MU","1101104","Itapuã do Oeste (RO)","10272"
"MU","1101203","Ministro Andreazza (RO)","9762"
"MU","1101302","Mirante da Serra (RO)","11080"
"MU","1101401","Monte Negro (RO)","15695"
"MU","1101435","Nova União (RO)","7047"
"MU","1101450","Parecis (RO)","5947"
"MU","1101468","Pimenteiras do Oeste (RO)","2191"
"MU","1101476","Primavera de Rondônia (RO)","2939"
"MU","1101484","São Felipe D'Oeste (RO)","5280"
"MU","1101492","São Francisco do Guaporé (RO)","19842"
"MU","1101500","Seringueiras (RO)","11860"
"MU","1101559","Teixeirópolis (RO)","4384"
"MU","1101609","Theobroma (RO)","10494"
"MU","1101708","Urupá (RO)","11665"
"MU","1101757","Vale do Anari (RO)","11028"
"MU","1101807","Vale do Paraíso (RO)","6998"
"MU","1200013","Acrelândia (AC)","15020"
"MU","1200054","Assis Brasil (AC)","7300"
"MU","1200104","Brasiléia (AC)","25848"
"MU","1200138","Bujari (AC)","10111"
"MU","1200179","Capixaba (AC)","11456"
"MU","1200203","Cruzeiro do Sul (AC)","87673"
"MU","1200252","Epitaciolândia (AC)","18122"
"MU","1200302","Feijó (AC)","34675"
"MU","1200328","Jordão (AC)","8159"
"MU","1200336","Mâncio Lima (AC)","18638"
"MU","1200344","Manoel Urbano (AC)","9336"
"MU","1200351","Marechal Thaumaturgo (AC)","18430"
"MU","1200385","Plácido de Castro (AC)","19565"
"MU","1200393","Porto Walter (AC)","11720"
"MU","1200401","Rio Branco (AC)","401155"
"MU","1200427","Rodrigues Alves (AC)","18504"
"MU","1200435","Santa Rosa do Purus (AC)","6362"
"MU","1200450","Senador Guiomard (AC)","22810"
"MU","1200500","Sena Madureira (AC)","45177"
"MU","1200609","Tarauacá (AC)","41976"
"MU","1200708","Xapuri (AC)","19048"
"MU","1200807","Porto Acre (AC)","18180"
"MU","1300029","Alvarães (AM)","15860"
"MU","1300060","Amaturá (AM)","11332"
"MU","1300086","Anamã (AM)","13269"
"MU","1300102","Anori (AM)","20538"
"MU","1300144","Apuí (AM)","21583"
"MU","1300201","Atalaia do Norte (AM)","19438"
"MU","1300300","Autazes (AM)","38830"
"MU","1300409","Barcelos (AM)","27364"
"MU","1300508","Barreirinha (AM)","31593"
"MU","1300607","Benjamin Constant (AM)","42020"
"MU","1300631","Beruri (AM)","19258"
"MU","1300680","Boa Vista do Ramos (AM)","18781"
"MU","1300706","Boca do Acre (AM)","33976"
"MU","1300805","Borba (AM)","40565"
"MU","1300839","Caapiranga (AM)","12877"
"MU","1300904","Canutama (AM)","15450"
"MU","1301001","Carauari (AM)","28076"
"MU","1301100","Careiro (AM)","37384"
"MU","1301159","Careiro da Várzea (AM)","29595"
"MU","1301209","Coari (AM)","84272"
"MU","1301308","Codajás (AM)","28100"
"MU","1301407","Eirunepé (AM)","34840"
"MU","1301506","Envira (AM)","19668"
"MU","1301605","Fonte Boa (AM)","18221"
"MU","1301654","Guajará (AM)","16416"
"MU","1301704","Humaitá (AM)","54001"
"MU","1301803","Ipixuna (AM)","28933"
"MU","1301852","Iranduba (AM)","47571"
"MU","1301902","Itacoatiara (AM)","99955"
"MU","1301951","Itamarati (AM)","7888"
"MU","1302009","Itapiranga (AM)","9064"
"MU","1302108","Japurá (AM)","3265"
"MU","1302207","Juruá (AM)","14312"
"MU","1302306","Jutaí (AM)","14753"
"MU","1302405","Lábrea (AM)","45245"
"MU","1302504","Manacapuru (AM)","96236"
"MU","1302553","Manaquiri (AM)","31147"
"MU","1302603","Manaus (AM)","2145444"
"MU","1302702","Manicoré (AM)","54907"
"MU","1302801","Maraã (AM)","18186"
"MU","1302900","Maués (AM)","62755"
"MU","1303007","Nhamundá (AM)","20899"
"MU","1303106","Nova Olinda do Norte (AM)","36721"
"MU","1303205","Novo Airão (AM)","18974"
"MU","1303304","Novo Aripuanã (AM)","25237"
"MU","1303403","Parintins (AM)","113168"
"MU","1303502","Pauini (AM)","19329"
"MU","1303536","Presidente Figueiredo (AM)","35352"
"MU","1303569","Rio Preto da Eva (AM)","32577"
"MU","1303601","Santa Isabel do Rio Negro (AM)","24436"
"MU","1303700","Santo Antônio do Içá (AM)","21966"
"MU","1303809","São Gabriel da Cachoeira (AM)","44816"
"MU","1303908","São Paulo de Olivença (AM)","38515"
"MU","1303957","São Sebastião do Uatumã (AM)","13685"
"MU","1304005","Silves (AM)","9110"
"MU","1304062","Tabatinga (AM)","64488"
"MU","1304104","Tapauá (AM)","17299"
"MU","1304203","Tefé (AM)","60154"
"MU","1304237","Tonantins (AM)","18610"
"MU","1304260","Uarini (AM)","13387"
"MU","1304302","Urucará (AM)","16383"
"MU","1304401","Urucurituba (AM)","22537"
"MU","1400027","Amajari (RR)","12394"
"MU","1400050","Alto Alegre (RR)","15638"
"MU","1400100","Boa Vista (RR)","375374"
"MU","1400159","Bonfim (RR)","12257"
"MU","1400175","Cantá (RR)","17868"
"MU","1400209","Caracaraí (RR)","21564"
"MU","1400233","Caroebe (RR)","9950"
"MU","1400282","Iracema (RR)","11600"
"MU","1400308","Mucajaí (RR)","17528"
"MU","1400407","Normandia (RR)","11045"
"MU","1400456","Pacaraima (RR)","15580"
"MU","1400472","Rorainópolis (RR)","29533"
"MU","1400506","São João da Baliza (RR)","8052"
"MU","1400605","São Luiz (RR)","7860"
"MU","1400704","Uiramutã (RR)","10325"
"MU","1500107","Abaetetuba (PA)","156292"
"MU","1500131","Abel Figueiredo (PA)","7382"
"MU","1500206","Acará (PA)","55513"
"MU","1500305","Afuá (PA)","38863"
"MU","1500347","Água Azul do Norte (PA)","27241"
"MU","1500404","Alenquer (PA)","56480"
"MU","1500503","Almeirim (PA)","34142"
"MU","1500602","Altamira (PA)","113195"
"MU","1500701","Anajás (PA)","28859"
"MU","1500800","Ananindeua (PA)","525566"
"MU","1500859","Anapu (PA)","27161"
"MU","1500909","Augusto Corrêa (PA)","45516"
"MU","1500958","Aurora do Pará (PA)","30896"
"MU","1501006","Aveiro (PA)","16371"
"MU","1501105","Bagre (PA)","30009"
"MU","1501204","Baião (PA)","46416"
"MU","1501253","Bannach (PA)","3310"
"MU","1501303","Barcarena (PA)","122294"
"MU","1501402","Belém (PA)","1485732"
"MU","1501451","Belterra (PA)","17624"
"MU","1501501","Benevides (PA)","61689"
"MU","1501576","Bom Jesus do Tocantins (PA)","16841"
"MU","1501600","Bonito (PA)","16038"
"MU","1501709","Bragança (PA)","126436"
"MU","1501725","Brasil Novo (PA)","15190"
"MU","1501758","Brejo Grande do Araguaia (PA)","7392"
"MU","1501782","Breu Branco (PA)","64738"
"MU","1501808","Breves (PA)","101891"
"MU","1501907","Bujaru (PA)","28832"
"MU","1501956","Cachoeira do Piriá (PA)","33178"
"MU","1502004","Cachoeira do Arari (PA)","23466"
"MU","1502103","Cametá (PA)","136390"
"MU","1502152","Canaã dos Carajás (PA)","36050"
"MU","1502202","Capanema (PA)","68616"
"MU","1502301","Capitão Poço (PA)","54179"
"MU","1502400","Castanhal (PA)","198294"
"MU","1502509","Chaves (PA)","23482"
"MU","1502608","Colares (PA)","12040"
"MU","1502707","Conceição do Araguaia (PA)","47734"
"MU","1502756","Concórdia do Pará (PA)","32847"
"MU","1502764","Cumaru do Norte (PA)","13179"
"MU","1502772","Curionópolis (PA)","18014"
"MU","1502806","Curralinho (PA)","33893"
"MU","1502855","Curuá (PA)","14197"
"MU","1502905","Curuçá (PA)","39540"
"MU","1502939","Dom Eliseu (PA)","58956"
"MU","1502954","Eldorado do Carajás (PA)","33674"
"MU","1503002","Faro (PA)","7319"
"MU","1503044","Floresta do Araguaia (PA)","20080"
"MU","1503077","Garrafão do Norte (PA)","26020"
"MU","1503093","Goianésia do Pará (PA)","39857"
"MU","1503101","Gurupá (PA)","32991"
"MU","1503200","Igarapé-Açu (PA)","38588"
"MU","1503309","Igarapé-Miri (PA)","62355"
"MU","1503408","Inhangapi (PA)","11559"
"MU","1503457","Ipixuna do Pará (PA)","62455"
"MU","1503507","Irituia (PA)","32504"
"MU","1503606","Itaituba (PA)","101097"
"MU","1503705","Itupiranga (PA)","53182"
"MU","1503754","Jacareacanga (PA)","8899"
"MU","1503804","Jacundá (PA)","58457"
"MU","1503903","Juruti (PA)","56908"
"MU","1504000","Limoeiro do Ajuru (PA)","28583"
"MU","1504059","Mãe do Rio (PA)","29917"
"MU","1504109","Magalhães Barata (PA)","8523"
"MU","1504208","Marabá (PA)","275086"
"MU","1504307","Maracanã (PA)","29429"
"MU","1504406","Marapanim (PA)","28220"
"MU","1504422","Marituba (PA)","129321"
"MU","1504455","Medicilândia (PA)","31213"
"MU","1504505","Melgaço (PA)","27415"
"MU","1504604","Mocajuba (PA)","30736"
"MU","1504703","Moju (PA)","80988"
"MU","1504752","Mojuí dos Campos (PA)","15982"
"MU","1504802","Monte Alegre (PA)","57900"
"MU","1504901","Muaná (PA)","39783"
"MU","1504950","Nova Esperança do Piriá (PA)","21291"
"MU","1504976","Nova Ipixuna (PA)","16499"
"MU","1505007","Nova Timboteua (PA)","15218"
"MU","1505031","Novo Progresso (PA)","25758"
"MU","1505064","Novo Repartimento (PA)","74602"
"MU","1505106","Óbidos (PA)","51964"
"MU","1505205","Oeiras do Pará (PA)","32168"
"MU","1505304","Oriximiná (PA)","72160"
"MU","1505403","Ourém (PA)","17721"
"MU","1505437","Ourilândia do Norte (PA)","32319"
"MU","1505486","Pacajá (PA)","46986"
"MU","1505494","Palestina do Pará (PA)","7596"
"MU","1505502","Paragominas (PA)","111764"
