"Tabela 793 - População residente"
"Variável - População residente (Pessoas)"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2007"
"MU","1100015","Alta Floresta D'Oeste (RO)","23857"
"MU","1100023","Ariquemes (RO)","82388"
"MU","1100031","Cabixi (RO)","6575"
"MU","1100049","Cacoal (RO)","76155"
"MU","1100056","Cerejeiras (RO)","16290"
"MU","1100064","Colorado do Oeste (RO)","17644"
"MU","1100072","Corumbiara (RO)","9476"
"MU","1100080","Costa Marques (RO)","13664"
"MU","1100098","Espigão D'Oeste (RO)","27867"
"MU","1100106","Guajará-Mirim (RO)","39451"
"MU","1100114","Jaru (RO)","52453"
"MU","1100122","Ji-Paraná (RO)","107679"
"MU","1100130","Machadinho D'Oeste (RO)","31475"
"MU","1100148","Nova Brasilândia D'Oeste (RO)","17170"
"MU","1100155","Ouro Preto do Oeste (RO)","36040"
"MU","1100189","Pimenta Bueno (RO)","32893"
"MU","1100205","Porto Velho (RO)","369345"
"MU","1100254","Presidente Médici (RO)","22197"
"MU","1100262","Rio Crespo (RO)","3174"
"MU","1100288","Rolim de Moura (RO)","48894"
"MU","1100296","Santa Luzia D'Oeste (RO)","9264"
"MU","1100304","Vilhena (RO)","66746"
"MU","1100320","São Miguel do Guaporé (RO)","22622"
"MU","1100338","Nova Mamoré (RO)","21162"
"MU","1100346","Alvorada D'Oeste (RO)","16485"
"MU","1100379","Alto Alegre dos Parecis (RO)","11615"
"MU","1100403","Alto Paraíso (RO)","16758"
"MU","1100452","Buritis (RO)","33072"
"MU","1100502","Novo Horizonte do Oeste (RO)","9648"
"MU","1100601","Cacaulândia (RO)","5553"
"MU","1100700","Campo Novo de Rondônia (RO)","12455"
"MU","1100809","Candeias do Jamari (RO)","16736"
"MU","1100908","Castanheiras (RO)","3624"
"MU","1100924","Chupinguaia (RO)","7456"
"MU","1100940","Cujubim (RO)","13857"
"MU","1101005","Governador Jorge Teixeira (RO)","11432"
"MU","1101104","Itapuã do Oeste (RO)","7905"
"MU","1101203","Ministro Andreazza (RO)","10343"
"MU","1101302","Mirante da Serra (RO)","12086"
"MU","1101401","Monte Negro (RO)","12357"
"MU","1101435","Nova União (RO)","7750"
"MU","1101450","Parecis (RO)","4583"
"MU","1101468","Pimenteiras do Oeste (RO)","2358"
"MU","1101476","Primavera de Rondônia (RO)","3704"
"MU","1101484","São Felipe D'Oeste (RO)","6286"
"MU","1101492","São Francisco do Guaporé (RO)","15710"
"MU","1101500","Seringueiras (RO)","11757"
"MU","1101559","Teixeirópolis (RO)","4919"
"MU","1101609","Theobroma (RO)","9952"
"MU","1101708","Urupá (RO)","13381"
"MU","1101757","Vale do Anari (RO)","8751"
"MU","1101807","Vale do Paraíso (RO)","8742"
"MU","1200013","Acrelândia (AC)","11520"
"MU","1200054","Assis Brasil (AC)","5351"
"MU","1200104","Brasiléia (AC)","19065"
"MU","1200138","Bujari (AC)","6543"
"MU","1200179","Capixaba (AC)","8446"
"MU","1200203","Cruzeiro do Sul (AC)","73948"
"MU","1200252","Epitaciolândia (AC)","13434"
"MU","1200302","Feijó (AC)","31288"
"MU","1200328","Jordão (AC)","6059"
"MU","1200336","Mâncio Lima (AC)","13785"
"MU","1200344","Manoel Urbano (AC)","7148"
"MU","1200351","Marechal Thaumaturgo (AC)","13061"
"MU","1200385","Plácido de Castro (AC)","17258"
"MU","1200393","Porto Walter (AC)","8170"
"MU","1200401","Rio Branco (AC)","290639"
"MU","1200427","Rodrigues Alves (AC)","12428"
"MU","1200435","Santa Rosa do Purus (AC)","3948"
"MU","1200450","Senador Guiomard (AC)","18863"
"MU","1200500","Sena Madureira (AC)","34230"
"MU","1200609","Tarauacá (AC)","32171"
"MU","1200708","Xapuri (AC)","14314"
"MU","1200807","Porto Acre (AC)","13716"
"MU","1300029","Alvarães (AM)","13010"
"MU","1300060","Amaturá (AM)","8384"
"MU","1300086","Anamã (AM)","8152"
"MU","1300102","Anori (AM)","13834"
"MU","1300144","Apuí (AM)","17451"
"MU","1300201","Atalaia do Norte (AM)","13682"
"MU","1300300","Autazes (AM)","29907"
"MU","1300409","Barcelos (AM)","24567"
"MU","1300508","Barreirinha (AM)","26645"
"MU","1300607","Benjamin Constant (AM)","29268"
"MU","1300631","Beruri (AM)","13809"
"MU","1300680","Boa Vista do Ramos (AM)","13138"
"MU","1300706","Boca do Acre (AM)","29818"
"MU","1300805","Borba (AM)","31098"
"MU","1300839","Caapiranga (AM)","10547"
"MU","1300904","Canutama (AM)","11463"
"MU","1301001","Carauari (AM)","25110"
"MU","1301100","Careiro (AM)","31070"
"MU","1301159","Careiro da Várzea (AM)","23023"
"MU","1301209","Coari (AM)","65222"
"MU","1301308","Codajás (AM)","16025"
"MU","1301407","Eirunepé (AM)","29411"
"MU","1301506","Envira (AM)","16438"
"MU","1301605","Fonte Boa (AM)","19726"
"MU","1301654","Guajará (AM)","14102"
"MU","1301704","Humaitá (AM)","38559"
"MU","1301803","Ipixuna (AM)","17177"
"MU","1301852","Iranduba (AM)","32869"
"MU","1301902","Itacoatiara (AM)","84676"
"MU","1301951","Itamarati (AM)","8078"
"MU","1302009","Itapiranga (AM)","9141"
"MU","1302108","Japurá (AM)","5281"
"MU","1302207","Juruá (AM)","8658"
"MU","1302306","Jutaí (AM)","17129"
"MU","1302405","Lábrea (AM)","36909"
"MU","1302504","Manacapuru (AM)","82309"
"MU","1302553","Manaquiri (AM)","19164"
"MU","1302603","Manaus (AM)","1646602"
"MU","1302702","Manicoré (AM)","44327"
"MU","1302801","Maraã (AM)","17507"
"MU","1302900","Maués (AM)","47020"
"MU","1303007","Nhamundá (AM)","17553"
"MU","1303106","Nova Olinda do Norte (AM)","29184"
"MU","1303205","Novo Airão (AM)","14630"
"MU","1303304","Novo Aripuanã (AM)","18196"
"MU","1303403","Parintins (AM)","102044"
"MU","1303502","Pauini (AM)","18325"
"MU","1303536","Presidente Figueiredo (AM)","24360"
"MU","1303569","Rio Preto da Eva (AM)","24858"
"MU","1303601","Santa Isabel do Rio Negro (AM)","16921"
"MU","1303700","Santo Antônio do Içá (AM)","29249"
"MU","1303809","São Gabriel da Cachoeira (AM)","39129"
"MU","1303908","São Paulo de Olivença (AM)","30727"
"MU","1303957","São Sebastião do Uatumã (AM)","8731"
"MU","1304005","Silves (AM)","8211"
"MU","1304062","Tabatinga (AM)","45293"
"MU","1304104","Tapauá (AM)","19453"
"MU","1304203","Tefé (AM)","62920"
"MU","1304237","Tonantins (AM)","19090"
"MU","1304260","Uarini (AM)","9859"
"MU","1304302","Urucará (AM)","15716"
"MU","1304401","Urucurituba (AM)","17184"
