"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Nível";"Cód.";"Município";"Ano x Classes de rendimento nominal mensal"
"Nível";"Cód.";"Município";"2010"
"Nível";"Cód.";"Município";"Total";"Até 1/2 salário mínimo";"Mais de 1/2 a 1 salário mínimo";"Mais de 1 a 2 salários mínimos";"Mais de 2 a 5 salários mínimos";"Mais de 5 a 10 salários mínimos";"Mais de 10 a 20 salários mínimos";"Mais de 20 salários mínimos";"Sem rendimento";"Sem declaração"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"20377";"1799";"5153";"3239";"1421";"290";"50";"22";"8403";"-"
"MU";"1100023";"Ariquemes (RO)";"74797";"3162";"15992";"15760";"8553";"2219";"499";"156";"28456";"-"
"MU";"1100031";"Cabixi (RO)";"5300";"434";"1401";"809";"393";"61";"14";"7";"2181";"-"
"MU";"1100049";"Cacoal (RO)";"66490";"3219";"15145";"13280";"7474";"2042";"449";"158";"24723";"-"
"MU";"1100056";"Cerejeiras (RO)";"14437";"1079";"4149";"2425";"1404";"288";"68";"26";"4998";"-"
"MU";"1100064";"Colorado do Oeste (RO)";"15814";"1037";"4343";"2594";"1549";"357";"79";"19";"5836";"-"
"MU";"1100072";"Corumbiara (RO)";"7411";"687";"1806";"1226";"555";"86";"15";"3";"3033";"-"
"MU";"1100080";"Costa Marques (RO)";"10747";"1299";"2385";"1338";"726";"201";"24";"8";"4766";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"23879";"1550";"5350";"4404";"2116";"496";"89";"16";"9858";"-"
"MU";"1100106";"Guajará-Mirim (RO)";"33072";"2080";"6697";"4950";"3022";"899";"198";"46";"15180";"-"
"MU";"1100114";"Jaru (RO)";"43312";"2410";"9974";"8209";"3754";"989";"178";"44";"17754";"-"
"MU";"1100122";"Ji-Paraná (RO)";"97607";"4369";"21438";"20578";"11442";"3254";"834";"254";"35438";"-"
"MU";"1100130";"Machadinho D'Oeste (RO)";"25119";"2421";"5618";"3389";"1809";"367";"64";"19";"11432";"-"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"16702";"2344";"4012";"2362";"1084";"219";"42";"12";"6627";"-"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"31897";"2064";"8139";"6093";"3151";"848";"186";"60";"11356";"-"
"MU";"1100189";"Pimenta Bueno (RO)";"28291";"1404";"7166";"5986";"2991";"794";"166";"66";"9718";"-"
"MU";"1100205";"Porto Velho (RO)";"356376";"10793";"57891";"75200";"53388";"17240";"5115";"1646";"135103";"-"
"MU";"1100254";"Presidente Médici (RO)";"18889";"1420";"5019";"2702";"1616";"358";"70";"14";"7690";"-"
"MU";"1100262";"Rio Crespo (RO)";"2724";"256";"629";"453";"179";"40";"9";"5";"1153";"-"
"MU";"1100288";"Rolim de Moura (RO)";"42578";"2621";"10889";"8612";"4447";"1067";"212";"55";"14675";"-"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"7557";"714";"1921";"1222";"546";"130";"28";"10";"2986";"-"
"MU";"1100304";"Vilhena (RO)";"63279";"2429";"13867";"14057";"8515";"2337";"572";"225";"21277";"-"
"MU";"1100320";"São Miguel do Guaporé (RO)";"17910";"2139";"4252";"2423";"1162";"215";"42";"17";"7660";"-"
"MU";"1100338";"Nova Mamoré (RO)";"17833";"1851";"4110";"2448";"975";"226";"35";"9";"8179";"-"
"MU";"1100346";"Alvorada D'Oeste (RO)";"14064";"1621";"3271";"2118";"1072";"201";"57";"19";"5705";"-"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"10419";"1448";"2455";"1282";"545";"100";"19";"2";"4568";"-"
"MU";"1100403";"Alto Paraíso (RO)";"13980";"1886";"3475";"2159";"978";"184";"32";"18";"5248";"-"
"MU";"1100452";"Buritis (RO)";"26091";"2360";"5901";"4400";"2029";"394";"63";"29";"10915";"-"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"8633";"801";"2183";"1095";"495";"79";"16";"3";"3961";"-"
"MU";"1100601";"Cacaulândia (RO)";"4685";"437";"1038";"748";"415";"98";"17";"6";"1926";"-"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"10124";"956";"2073";"1319";"512";"111";"18";"9";"5126";"-"
"MU";"1100809";"Candeias do Jamari (RO)";"15773";"728";"3606";"2819";"1415";"247";"49";"15";"6894";"-"
"MU";"1100908";"Castanheiras (RO)";"3035";"342";"802";"494";"202";"53";"7";"4";"1131";"-"
"MU";"1100924";"Chupinguaia (RO)";"6697";"373";"1338";"1502";"638";"99";"11";"7";"2729";"-"
"MU";"1100940";"Cujubim (RO)";"12517";"1059";"2509";"2312";"1242";"239";"67";"14";"5075";"-"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"8686";"1053";"2034";"1079";"543";"117";"14";"7";"3839";"-"
"MU";"1101104";"Itapuã do Oeste (RO)";"6880";"739";"1515";"1252";"563";"91";"11";"6";"2703";"-"
"MU";"1101203";"Ministro Andreazza (RO)";"8545";"860";"1835";"1311";"656";"113";"18";"8";"3744";"-"
"MU";"1101302";"Mirante da Serra (RO)";"9805";"1316";"2716";"1360";"612";"119";"19";"16";"3647";"-"
"MU";"1101401";"Monte Negro (RO)";"11443";"1009";"2585";"2125";"811";"157";"37";"13";"4706";"-"
